2022.10.11 00:21:14 INFO  tracing is disabled for protocol LSP, to enable tracing of incoming and outgoing JSON messages create an empty file at /home/eugene/software-design/.metals/lsp.trace.json or /home/eugene/.cache/metals/lsp.trace.json[0m
2022.10.11 00:21:15 INFO  logging to file /home/eugene/software-design/.metals/metals.log[0m
2022.10.11 00:21:15 INFO  Started: Metals version 0.11.9 in workspace '/home/eugene/software-design' for client Visual Studio Code 1.69.2.[0m
2022.10.11 00:21:16 INFO  time: initialize in 1.49s[0m
2022.10.11 00:21:19 WARN  Build server is not auto-connectable.[0m
2022.10.11 00:21:19 WARN  no build tool detected in workspace '/home/eugene/software-design'. The most common cause for this problem is that the editor was opened in the wrong working directory, for example if you use sbt then the workspace directory should contain build.sbt. [0m
2022.10.11 00:22:11 INFO  [0m
2022.10.11 00:22:11 INFO  Template applied in /home/eugene/software-design/./lrucache[0m
2022.10.11 00:22:11 INFO  [0m
2022.10.11 00:22:11 INFO  time: ran 'giter8.Giter8' in 1.71s[0m
2022.10.12 00:04:28 INFO  shutting down Metals[0m
